City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.7297,-155.09,80.33,72,0,6.91,clear sky
1,Port Elizabeth,ZA,-33.918,25.5701,61.11,77,0,9.22,clear sky
2,Port Alfred,ZA,-33.5906,26.891,60.19,86,30,3.0,scattered clouds
3,Vaini,TO,-21.2,-175.2,82.56,74,20,5.75,few clouds
4,Punta Arenas,CL,-53.15,-70.9167,46.51,66,40,23.02,scattered clouds
5,Fortuna,US,40.5982,-124.1573,52.14,81,0,4.61,clear sky
6,Mataura,NZ,-46.1927,168.8643,71.82,49,100,1.41,light rain
7,Bluff,NZ,-46.6,168.3333,58.33,76,100,13.69,overcast clouds
8,Egvekinot,RU,66.3167,-179.1667,27.95,99,100,20.45,snow
9,Kosa,RU,59.9445,54.9977,3.27,90,67,4.41,broken clouds
10,Albany,US,42.6001,-73.9662,32.4,87,100,4.16,snow
11,Qaanaaq,GL,77.484,-69.3632,-1.8,84,18,6.91,few clouds
12,Mount Isa,AU,-20.7333,139.5,85.77,20,57,14.97,broken clouds
13,Rikitea,PF,-23.1203,-134.9692,74.82,82,81,17.76,broken clouds
14,Castro,BR,-24.7911,-50.0119,56.84,66,0,3.69,clear sky
15,Ushuaia,AR,-54.8,-68.3,49.66,57,0,2.3,clear sky
16,Hermanus,ZA,-34.4187,19.2345,57.79,80,100,6.53,overcast clouds
17,Thompson,CA,55.7435,-97.8558,5.16,92,0,0.0,clear sky
18,Torbay,CA,47.6666,-52.7314,34.75,86,75,6.91,broken clouds
19,Saskylakh,RU,71.9167,114.0833,-21.64,97,89,6.33,overcast clouds
20,Ust-Kuyga,RU,70.0167,135.6,-32.31,100,81,6.17,broken clouds
21,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,78,20,9.22,few clouds
22,Nipawin,CA,53.3668,-104.0009,23.04,93,100,8.05,overcast clouds
23,Kapaa,US,22.0752,-159.319,80.1,62,20,16.11,few clouds
24,Mar Del Plata,AR,-38.0023,-57.5575,64.09,64,0,1.99,clear sky
25,Upernavik,GL,72.7868,-56.1549,18.57,78,100,9.04,overcast clouds
26,Gravdal,NO,68.1214,13.5031,40.19,60,100,11.01,overcast clouds
27,Yellowknife,CA,62.456,-114.3525,23.52,86,100,23.02,light snow
